Domain Name,Expected Ratio,Observed Ratio,Enrichment Fold Change,P-value,FDR enriched P-value,Bonferroni enriched P-value,log2(Enrichment Fold Change),-log10(P-value),-log10(FDR P-value),-log10(Bonferroni P-value)
GO:0000902,17/49164 (0.0346%),0/32 (0.0%),0.0,1.0,1.0,1.0,-1000.0,-0.0,-0.0,-0.0
GO:0000915,5/49164 (0.0102%),0/32 (0.0%),0.0,1.0,1.0,1.0,-1000.0,-0.0,-0.0,-0.0
GO:0000916,2/49164 (0.0041%),0/32 (0.0%),0.0,1.0,1.0,1.0,-1000.0,-0.0,-0.0,-0.0
GO:0000956,29/49164 (0.059%),3/32 (9.375%),158.93534482758622,9.046703703623479e-07,0.0005542613802419985,0.0033255682814519907,7.312296183795041,6.043509633402609,3.2562853810721784,2.478134130688535
GO:0000958,1/49164 (0.002%),0/32 (0.0%),0.0,1.0,1.0,1.0,-1000.0,-0.0,-0.0,-0.0
GO:0000963,1/49164 (0.002%),0/32 (0.0%),0.0,1.0,1.0,1.0,-1000.0,-0.0,-0.0,-0.0
GO:0000965,2/49164 (0.0041%),0/32 (0.0%),0.0,1.0,1.0,1.0,-1000.0,-0.0,-0.0,-0.0
GO:0000972,3/49164 (0.0061%),0/32 (0.0%),0.0,1.0,1.0,1.0,-1000.0,-0.0,-0.0,-0.0
GO:0000973,3/49164 (0.0061%),0/32 (0.0%),0.0,1.0,1.0,1.0,-1000.0,-0.0,-0.0,-0.0
GO:0001111,1/49164 (0.002%),0/32 (0.0%),0.0,1.0,1.0,1.0,-1000.0,-0.0,-0.0,-0.0
GO:0001172,5/49164 (0.0102%),0/32 (0.0%),0.0,1.0,1.0,1.0,-1000.0,-0.0,-0.0,-0.0
GO:0001174,1/49164 (0.002%),0/32 (0.0%),0.0,1.0,1.0,1.0,-1000.0,-0.0,-0.0,-0.0
GO:0001188,3/49164 (0.0061%),0/32 (0.0%),0.0,1.0,1.0,1.0,-1000.0,-0.0,-0.0,-0.0
GO:0001193,1/49164 (0.002%),0/32 (0.0%),0.0,1.0,1.0,1.0,-1000.0,-0.0,-0.0,-0.0
GO:0001504,1/49164 (0.002%),0/32 (0.0%),0.0,1.0,1.0,1.0,-1000.0,-0.0,-0.0,-0.0
GO:0001507,3/49164 (0.0061%),0/32 (0.0%),0.0,1.0,1.0,1.0,-1000.0,-0.0,-0.0,-0.0
GO:0001508,19/49164 (0.0386%),0/32 (0.0%),0.0,1.0,1.0,1.0,-1000.0,-0.0,-0.0,-0.0
GO:0001510,7/49164 (0.0142%),0/32 (0.0%),0.0,1.0,1.0,1.0,-1000.0,-0.0,-0.0,-0.0
GO:0001514,2/49164 (0.0041%),0/32 (0.0%),0.0,1.0,1.0,1.0,-1000.0,-0.0,-0.0,-0.0
GO:0001516,1/49164 (0.002%),0/32 (0.0%),0.0,1.0,1.0,1.0,-1000.0,-0.0,-0.0,-0.0
GO:0001522,13/49164 (0.0264%),0/32 (0.0%),0.0,1.0,1.0,1.0,-1000.0,-0.0,-0.0,-0.0
GO:0001555,9/49164 (0.0183%),0/32 (0.0%),0.0,1.0,1.0,1.0,-1000.0,-0.0,-0.0,-0.0
GO:0001556,34/49164 (0.0692%),0/32 (0.0%),0.0,1.0,1.0,1.0,-1000.0,-0.0,-0.0,-0.0
GO:0001558,2/49164 (0.0041%),0/32 (0.0%),0.0,1.0,1.0,1.0,-1000.0,-0.0,-0.0,-0.0
GO:0001561,5/49164 (0.0102%),0/32 (0.0%),0.0,1.0,1.0,1.0,-1000.0,-0.0,-0.0,-0.0
GO:0001578,2/49164 (0.0041%),0/32 (0.0%),0.0,1.0,1.0,1.0,-1000.0,-0.0,-0.0,-0.0
GO:0001654,1/49164 (0.002%),0/32 (0.0%),0.0,1.0,1.0,1.0,-1000.0,-0.0,-0.0,-0.0
GO:0001666,27/49164 (0.0549%),0/32 (0.0%),0.0,1.0,1.0,1.0,-1000.0,-0.0,-0.0,-0.0
GO:0001676,11/49164 (0.0224%),0/32 (0.0%),0.0,1.0,1.0,1.0,-1000.0,-0.0,-0.0,-0.0
GO:0001678,3/49164 (0.0061%),0/32 (0.0%),0.0,1.0,1.0,1.0,-1000.0,-0.0,-0.0,-0.0
GO:0001680,1/49164 (0.002%),0/32 (0.0%),0.0,1.0,1.0,1.0,-1000.0,-0.0,-0.0,-0.0
GO:0001682,5/49164 (0.0102%),0/32 (0.0%),0.0,1.0,1.0,1.0,-1000.0,-0.0,-0.0,-0.0
GO:0001704,2/49164 (0.0041%),0/32 (0.0%),0.0,1.0,1.0,1.0,-1000.0,-0.0,-0.0,-0.0
GO:0001708,91/49164 (0.1851%),0/32 (0.0%),0.0,1.0,1.0,1.0,-1000.0,-0.0,-0.0,-0.0
