Domain Name,Expected Ratio,Observed Ratio,Enrichment Fold Change,P-value,FDR depleted P-value,Bonferroni depleted P-value,log2(Enrichment Fold Change),-log10(P-value),-log10(FDR P-value),-log10(Bonferroni P-value)
GO:0035034,1/49164 (0.002034%),0/32 (0%),0.0,0.9993491172402571,1.0,1.0,-1000.0,0.00028276682493404826,-0.0,-0.0
GO:0035035,2/49164 (0.004068%),0/32 (0%),0.0,0.9986986448982176,1.0,1.0,-1000.0,0.0005655394033595667,-0.0,-0.0
GO:0035091,24/49164 (0.04882%),0/32 (0%),0.0,0.9844915837115908,1.0,1.0,-1000.0,0.006787992236109653,-0.0,-0.0
GO:0035173,2/49164 (0.004068%),0/32 (0%),0.0,0.9986986448982176,1.0,1.0,-1000.0,0.0005655394033595667,-0.0,-0.0
GO:0035197,5/49164 (0.01017%),0/32 (0%),0.0,0.9967496878745767,1.0,1.0,-1000.0,0.001413891661926328,-0.0,-0.0
GO:0035198,20/49164 (0.04068%),0/32 (0%),0.0,0.9870600393724083,1.0,1.0,-1000.0,0.005656429929046359,-0.0,-0.0
GO:0035226,1/49164 (0.002034%),0/32 (0%),0.0,0.9993491172402571,1.0,1.0,-1000.0,0.00028276682493404826,-0.0,-0.0
GO:0035241,2/49164 (0.004068%),0/32 (0%),0.0,0.9986986448982176,1.0,1.0,-1000.0,0.0005655394033595667,-0.0,-0.0
GO:0035242,1/49164 (0.002034%),0/32 (0%),0.0,0.9993491172402571,1.0,1.0,-1000.0,0.00028276682493404826,-0.0,-0.0
GO:0035243,2/49164 (0.004068%),0/32 (0%),0.0,0.9986986448982176,1.0,1.0,-1000.0,0.0005655394033595667,-0.0,-0.0
GO:0035250,1/49164 (0.002034%),0/32 (0%),0.0,0.9993491172402571,1.0,1.0,-1000.0,0.00028276682493404826,-0.0,-0.0
GO:0035254,1/49164 (0.002034%),0/32 (0%),0.0,0.9993491172402571,1.0,1.0,-1000.0,0.00028276682493404826,-0.0,-0.0
GO:0035255,2/49164 (0.004068%),0/32 (0%),0.0,0.9986986448982176,1.0,1.0,-1000.0,0.0005655394033595667,-0.0,-0.0
GO:0035259,2/49164 (0.004068%),0/32 (0%),0.0,0.9986986448982176,1.0,1.0,-1000.0,0.0005655394033595667,-0.0,-0.0
GO:0035299,1/49164 (0.002034%),0/32 (0%),0.0,0.9993491172402571,1.0,1.0,-1000.0,0.00028276682493404826,-0.0,-0.0
GO:0035312,2/49164 (0.004068%),0/32 (0%),0.0,0.9986986448982176,1.0,1.0,-1000.0,0.0005655394033595667,-0.0,-0.0
GO:0035375,2/49164 (0.004068%),0/32 (0%),0.0,0.9986986448982176,1.0,1.0,-1000.0,0.0005655394033595667,-0.0,-0.0
GO:0035402,5/49164 (0.01017%),0/32 (0%),0.0,0.9967496878745767,1.0,1.0,-1000.0,0.001413891661926328,-0.0,-0.0
GO:0035497,2/49164 (0.004068%),0/32 (0%),0.0,0.9986986448982176,1.0,1.0,-1000.0,0.0005655394033595667,-0.0,-0.0
GO:0035515,1/49164 (0.002034%),0/32 (0%),0.0,0.9993491172402571,1.0,1.0,-1000.0,0.00028276682493404826,-0.0,-0.0
GO:0035516,1/49164 (0.002034%),0/32 (0%),0.0,0.9993491172402571,1.0,1.0,-1000.0,0.00028276682493404826,-0.0,-0.0
GO:0035529,1/49164 (0.002034%),0/32 (0%),0.0,0.9993491172402571,1.0,1.0,-1000.0,0.00028276682493404826,-0.0,-0.0
GO:0035575,1/49164 (0.002034%),0/32 (0%),0.0,0.9993491172402571,1.0,1.0,-1000.0,0.00028276682493404826,-0.0,-0.0
GO:0035591,10/49164 (0.02034%),0/32 (0%),0.0,0.9935096111764519,1.0,1.0,-1000.0,0.002827927184555954,-0.0,-0.0
GO:0035596,2/49164 (0.004068%),0/32 (0%),0.0,0.9986986448982176,1.0,1.0,-1000.0,0.0005655394033595667,-0.0,-0.0
GO:0035597,1/49164 (0.002034%),0/32 (0%),0.0,0.9993491172402571,1.0,1.0,-1000.0,0.00028276682493404826,-0.0,-0.0
GO:0035598,1/49164 (0.002034%),0/32 (0%),0.0,0.9993491172402571,1.0,1.0,-1000.0,0.00028276682493404826,-0.0,-0.0
GO:0035612,2/49164 (0.004068%),0/32 (0%),0.0,0.9986986448982176,1.0,1.0,-1000.0,0.0005655394033595667,-0.0,-0.0
GO:0035613,1/49164 (0.002034%),0/32 (0%),0.0,0.9993491172402571,1.0,1.0,-1000.0,0.00028276682493404826,-0.0,-0.0
GO:0035615,9/49164 (0.01831%),0/32 (0%),0.0,0.9941568091805975,1.0,1.0,-1000.0,0.0025451085697685686,-0.0,-0.0
GO:0035639,1/49164 (0.002034%),0/32 (0%),0.0,0.9993491172402571,1.0,1.0,-1000.0,0.00028276682493404826,-0.0,-0.0
GO:0035642,1/49164 (0.002034%),0/32 (0%),0.0,0.9993491172402571,1.0,1.0,-1000.0,0.00028276682493404826,-0.0,-0.0
GO:0035673,3/49164 (0.006102%),0/32 (0%),0.0,0.9980485827234333,1.0,1.0,-1000.0,0.0008483177355106826,-0.0,-0.0
GO:0035870,1/49164 (0.002034%),0/32 (0%),0.0,0.9993491172402571,1.0,1.0,-1000.0,0.00028276682493404826,-0.0,-0.0
GO:0035925,5/49164 (0.01017%),0/32 (0%),0.0,0.9967496878745767,1.0,1.0,-1000.0,0.001413891661926328,-0.0,-0.0
GO:0036002,3/49164 (0.006102%),0/32 (0%),0.0,0.9980485827234333,1.0,1.0,-1000.0,0.0008483177355106826,-0.0,-0.0
GO:0036009,1/49164 (0.002034%),0/32 (0%),0.0,0.9993491172402571,1.0,1.0,-1000.0,0.00028276682493404826,-0.0,-0.0
