Feature name,Standard gene name,mRNA half-life
YML022W,APT1,9.0
YML018C,-,12.0
YMR014W,BUD22,14.0
YMR049C,ERB1,11.0
YMR079W,SEC14,14.0
YMR093W,UTP15,16.0
YMR116C,ASC1,13.0
YMR121C,RPL15B,23.0
YMR128W,ECM16,13.0
YMR131C,RRB1,10.0
YMR142C,RPL13B,12.0
YMR143W,RPS16A,11.0
YMR146C,TIF34,13.0
YMR194W,RPL36A,14.0
YMR212C,EFR3,17.0
YMR215W,GAS3,19.0
YMR217W,GUA1,12.0
YMR229C,RRP5,11.0
YMR230W,RPS10B,13.0
YMR234W,RNH1,14.0
YMR235C,RNA1,15.0
YMR239C,RNT1,9.0
YMR242C,RPL20A,12.0
YMR243C,ZRC1,13.0
YMR269W,TMA23,11.0
YMR277W,FCP1,10.0
YMR290C,HAS1,9.0
YMR308C,PSE1,14.0
YMR309C,NIP1,13.0
YMR310C,-,10.0
YMR321C,-,10.0
YNL313C,EMW1,17.0
YNL308C,KRI1,13.0
YNL303W,-,10.0
YNL302C,RPS19B,13.0
YNL301C,RPL18B,13.0
YNL299W,TRF5,11.0
YNL292W,PUS4,11.0
YNL256W,FOL1,12.0
YNL255C,GIS2,15.0
YNL248C,RPA49,10.0
YNL247W,-,14.0
YNL228W,-,52.0
YNL227C,JJJ1,12.0
YNL209W,SSB2,13.0
YNL186W,UBP10,9.0
YNL182C,IPI3,8.0
YNL178W,RPS3,14.0
YNL174W,-,15.0
YNL175C,NOP13,10.0
YNL163C,RIA1,14.0
YNL162W,RPL42A,12.0
YNL153C,GIM3,11.0
YNL151C,RPC31,10.0
YNL141W,AAH1,6.0
YNL132W,KRE33,10.0
YNL124W,NAF1,13.0
YNL119W,NCS2,13.0
YNL113W,RPC19,12.0
YNL114C,-,20.0
YNL110C,NOP15,12.0
YNL102W,POL1,10.0
YNL096C,RPS7B,10.5
YNL075W,IMP4,10.0
YNL069C,RPL16B,13.0
YNL067W,RPL9B,13.0
YNL066W,SUN4,8.0
YNL062C,GCD10,10.0
YNL061W,NOP2,12.0
YNL022C,RCM1,12.0
YNL010W,-,12.0
YNL002C,RLP7,10.0
YNL001W,DOM34,13.0
YNR003C,RPC34,7.0
YNR009W,NRM1,10.0
YNR024W,MPP6,12.0
YNR043W,MVD1,12.0
YNR053C,NOG2,11.0
YNR054C,ESF2,11.0
YOL127W,RPL25,13.0
YOL124C,TRM11,12.0
YOL121C,RPS19A,13.0
YOL120C,RPL18A,13.0
YOL097C,WRS1,13.0
YOL077C,BRX1,12.0
YOL041C,NOP12,14.0
YOL040C,RPS15,12.0
YOL039W,RPP2A,12.0
YOL022C,TSR4,10.0
YOR001W,RRP6,12.0
YOR004W,UTP23,8.0
YOR021C,SFM1,12.0
YOR063W,RPL3,14.0
YOR095C,RKI1,6.0
YOR096W,RPS7A,11.5
YOR146W,-,21.0
YOR145C,PNO1,10.0
YOR167C,RPS28A,15.5
YOR168W,GLN4,13.0
YOR169C,-,16.0
YOR182C,RPS30B,16.0
YOR188W,MSB1,10.0
YOR206W,NOC2,11.0
YOR209C,NPT1,16.0
YOR210W,RPB10,16.0
YOR217W,RFC1,14.0
YOR224C,RPB8,11.0
YOR233W,KIN4,10.0
YOR234C,RPL33B,12.5
YOR243C,PUS7,10.0
YOR252W,TMA16,11.0
YOR253W,NAT5,11.0
YOR260W,GCD1,15.0
YOR271C,FSF1,10.0
YOR272W,YTM1,9.0
YOR276W,CAF20,16.0
YOR287C,RRP36,9.0
YOR293W,RPS10A,12.0
YOR294W,RRS1,11.0
YOR309C,-,14.0
YOR310C,NOP58,14.0
YOR312C,RPL20B,13.0
YOR361C,PRT1,16.0
YOR369C,RPS12,14.0
YPL273W,SAM4,9.0
YPL266W,DIM1,10.0
YPL263C,KEL3,12.0
YPL245W,-,15.0
YPL237W,SUI3,21.0
YPL238C,-,23.0
YPL235W,RVB2,20.0
YPL226W,NEW1,18.0
YPL220W,RPL1A,16.0
YPL217C,BMS1,10.0
YPL212C,PUS1,15.0
YPL211W,NIP7,10.0
YPL207W,TYW1,12.0
YPL198W,RPL7B,16.5
YPL183C,RTT10,8.0
YPL160W,CDC60,12.0
YPL146C,NOP53,13.0
YPL143W,RPL33A,15.0
YPL142C,-,18.0
YPL090C,RPS6A,12.0
YPL086C,ELP3,9.0
YPL081W,RPS9A,14.0
YPL079W,RPL21B,16.0
YPL043W,NOP4,13.0
YPL037C,EGD1,15.0
YPR010C,RPA135,9.0
YPR016C,TIF6,13.0
YPR033C,HTS1,15.0
YPR034W,ARP7,15.0
YPR043W,RPL43A,17.0
YPR044C,OPI11,16.0
YPR060C,ARO7,16.0
YPR074C,TKL1,12.0
YPR080W,TEF1,17.0
YPR102C,RPL11A,13.0
YPR110C,RPC40,12.0
YPR112C,MRD1,8.0
YPR118W,MRI1,12.0
YPR132W,RPS23B,13.0
YPR137W,RRP9,13.0
YPR143W,RRP15,13.0
YPR142C,-,26.0
YPR144C,NOC4,12.0
YPR145W,ASN1,13.0
YPR163C,TIF3,13.0
YPR169W,JIP5,14.0
YPR187W,RPO26,13.0
YPR190C,RPC82,13.0
YBL092W,RPL32,13.0
YBL087C,RPL23A,14.0
YBL077W,-,33.0
YBL072C,RPS8A,12.0
YBL068W,PRS4,14.0
YBL054W,TOD6,12.0
YBL039C,URA7,11.0
YBL028C,-,10.0
YBL027W,RPL19B,14.5
YBL024W,NCL1,10.0
YBR025C,OLA1,17.0
YBR030W,RKM3,34.0
YBR031W,RPL4A,15.0
YBR034C,HMT1,14.0
YBR048W,RPS11B,16.0
YBR061C,TRM7,11.0
YBR079C,RPG1,14.0
