Feature name,Standard gene name,Transcriptional plasticity
YPR080W,TEF1,0.46305543
YPR102C,RPL11A,0.762343941
YPR110C,RPC40,0.780085001
YPR112C,MRD1,0.735185273
YPR118W,MRI1,0.41455666
YPR132W,RPS23B,0.60116371
YPR137W,RRP9,0.430472826
YPR136C,-,0.400046401
YPR143W,RRP15,0.478270771
YPR142C,-,0.459209108
YPR144C,NOC4,0.640370128
YPR145W,ASN1,0.746800566
YPR163C,TIF3,0.61175347
YPR169W,JIP5,0.205610469
YPR187W,RPO26,0.488334708
YPR190C,RPC82,0.385728642
YBL092W,RPL32,0.656623786
YBL087C,RPL23A,0.751911236
YBL077W,-,0.379475871
YBL072C,RPS8A,1.50274286
YBL068W,PRS4,0.397787121
YBL054W,TOD6,0.704677938
YBL039C,URA7,1.4196456
YBL035C,POL12,0.295727561
YBL028C,-,0.669546614
YBL027W,RPL19B,0.698300316
YBL024W,NCL1,0.570703474
YBR025C,OLA1,0.40114579
YBR030W,RKM3,0.225262117
YBR031W,RPL4A,0.516097534
YBR034C,HMT1,0.710408236
YBR048W,RPS11B,0.647066974
YBR061C,TRM7,0.273653763
YBR079C,RPG1,0.480458766
YBR084W,MIS1,0.615889674
YBR084C-A,RPL19A,0.677092907
YBR089W,-,0.451625012
YBR106W,PHO88,0.491926905
YBR118W,TEF2,0.300235995
YBR121C,GRS1,0.539541454
YBR142W,MAK5,0.487582468
YBR143C,SUP45,0.453207583
YBR154C,RPB5,0.450409828
YBR155W,CNS1,0.376012479
YBR181C,RPS6B,1.22320706
YBR189W,RPS9B,1.330441726
YBR191W,RPL21A,0.976356485
YBR238C,-,0.692971066
YBR246W,RRT2,0.166514936
YBR247C,ENP1,0.7841774
YBR249C,ARO4,0.645663489
YBR252W,DUT1,0.32331162
YBR267W,REI1,0.520210213
YBR266C,SLM6,0.538965578
YBR283C,SSH1,0.286280032
YCL059C,KRR1,0.768050051
YCL054W,SPB1,0.754044167
YCL045C,EMC1,0.224224127
YCL037C,SRO9,0.846964588
YCL031C,RRP7,0.250422963
YCR016W,-,0.530901206
YCR031C,RPS14A,0.548836726
YCR034W,ELO2,0.611904592
YCR035C,RRP43,0.291100608
YCR053W,THR4,0.294041269
YCR057C,PWP2,0.659737881
YCR072C,RSA4,0.819938845
YDL201W,TRM8,0.483805206
YDL191W,RPL35A,0.626855393
YDL167C,NRP1,0.532857892
YDL153C,SAS10,0.765080354
YDL150W,RPC53,0.399573722
YDL151C,BUD30,0.399265824
YDL143W,CCT4,0.249383253
YDL136W,RPL35B,0.540289927
YDL111C,RRP42,0.275846973
YDL084W,SUB2,0.325589551
YDL083C,RPS16B,0.814418729
YDL082W,RPL13A,0.878258878
YDL081C,RPP1A,0.968060934
YDL075W,RPL31A,0.664814504
YDL062W,-,0.52178675
YDL063C,SYO1,0.546394232
YDL061C,RPS29B,0.635988349
YDL060W,TSR1,0.488899997
YDL051W,LHP1,0.658976802
YDL050C,-,0.385622733
YDL031W,DBP10,0.42418611
YDR012W,RPL4B,0.696746796
YDR023W,SES1,0.487946326
YDR025W,RPS11A,0.89615018
YDR037W,KRS1,0.650004766
YDR064W,RPS13,0.792251422
YDR083W,RRP8,0.536612456
YDR087C,RRP1,0.644369825
YDR091C,RLI1,0.555996604
YDR097C,MSH6,0.338862812
YDR101C,ARX1,0.862027825
YDR120C,TRM1,0.55410576
YDR152W,GIR2,0.285150845
YDR161W,ACL4,0.485465012
YDR165W,TRM82,0.561081328
YDR172W,SUP35,0.297132249
